Leff,Vth,Tox,Vdd,Power dissipation (W),Delay (s)
2.54,0.61414,1.63,0.81595,23.0,1.01
2.57,0.52613,1.68,1.0799,48.0,0.7
1.34,0.56528,1.7,0.95537,36.1,1.55
2.66,0.49595,1.66,0.83478,17.4,2.73
2.56,0.59676,1.64,0.90457,33.59999999999999,0.612
3.22,0.38123,1.67,1.0167,29.7,1.92
3.28,0.58909,1.73,0.84401,25.5,1.38
3.61,0.50533,1.69,0.98674,35.9,1.07
2.69,0.46836,1.72,1.0851,39.2,1.28
2.57,0.55427,1.61,0.92067,27.5,1.69
3.13,0.45989,1.57,1.007,50.5,0.651
2.14,0.4412,1.68,1.0702,42.5,1.52
2.17,0.54069,1.56,0.80502,20.0,2.27
2.16,0.55317,1.66,1.0355,29.4,1.24
2.63,0.49238,1.73,0.93165,16.7,2.43
2.71,0.46238,1.71,1.1075,52.0,0.403
2.55,0.54712,1.69,0.79145,30.1,1.66
2.68,0.45561,1.58,0.82186,18.5,2.53
2.49,0.53754,1.71,0.80658,23.5,1.02
3.2,0.41192,1.75,0.72353,17.5,1.76
3.14,0.4605,1.73,0.83294,22.1,1.37
2.86,0.49306,1.56,0.92679,30.9,1.08
3.29,0.40029,1.62,0.8771,28.7,1.35
2.22,0.40115,1.54,0.90925,21.3,2.01
2.71,0.44491,1.72,0.94026,19.3,1.78
2.84,0.51315,1.66,0.77978,15.6,1.63
3.17,0.49793,1.63,0.89811,23.5,1.0
2.63,0.58627,1.64,0.93861,27.0,1.19
2.52,0.51625,1.66,0.83787,22.9,1.53
2.46,0.54302,1.7,0.81469,20.3,1.67
3.27,0.46561,1.64,0.84791,24.4,1.17
2.84,0.55377,1.7,0.90481,25.8,1.42
3.17,0.5359,1.6,1.022,40.3,0.851
3.34,0.55456,1.73,0.8555,19.9,2.43
2.01,0.54866,1.67,0.79499,18.5,1.48
3.31,0.56035,1.57,0.94756,23.6,1.43
3.21,0.45696,1.7,1.0213,41.489,0.652
2.63,0.54755,1.57,0.88843,25.7,2.0
2.49,0.57109,1.68,1.0938,54.8,0.654
2.38,0.5803,1.69,0.95082,39.6,1.6
2.83,0.48796,1.61,0.96516,33.59999999999999,1.73
2.81,0.49371,1.74,0.89029,29.0,1.54
3.12,0.53963,1.57,0.82622,20.8,1.82
2.97,0.53537,1.57,1.146,71.8,0.319
2.78,0.51958,1.63,0.81961,22.8,3.41
2.66,0.51768,1.75,0.87137,23.3,1.7
3.05,0.48054,1.64,0.91355,30.1,1.05
2.91,0.48792,1.64,0.86411,38.5,0.809
2.84,0.38755,1.62,0.96956,28.0,2.16
2.81,0.45809,1.7,0.79558,17.8,1.86
2.58,0.51186,1.64,0.6182,10.1,2.03
3.01,0.48133,1.67,0.93562,28.3,0.719
2.25,0.47657,1.7,0.96387,45.1,0.647
2.76,0.48912,1.57,0.89288,26.3,2.28
3.08,0.49408,1.72,0.9905,32.9,1.24
2.99,0.44459,1.71,0.8792,22.6,1.88
3.0,0.36862,1.7,0.95695,29.8,1.03
2.86,0.44659,1.62,0.93018,33.9,1.13
3.03,0.42512,1.7,0.98973,34.2,1.49
2.28,0.64991,1.71,0.97329,32.8,1.36
3.05,0.49132,1.59,0.87219,29.9,1.4
2.34,0.47414,1.54,0.85138,27.2,1.49
2.77,0.52345,1.7,1.0745,82.39999999999999,0.152
2.84,0.49094,1.62,0.98952,37.5,2.21
2.62,0.57035,1.68,0.92066,26.5,1.93
2.4,0.3912,1.72,0.89798,23.3,1.44
2.1,0.53542,1.66,0.96976,36.0,0.89
2.81,0.50696,1.6,0.92631,33.4,1.46
2.17,0.59794,1.57,0.99849,39.40000000000001,1.14
3.45,0.42366,1.72,0.82914,31.7,1.47
3.02,0.51097,1.62,0.92189,37.2,1.19
2.7,0.6046,1.7,1.0509,35.2,1.66
2.65,0.5029,1.68,0.86493,25.5,1.65
2.5,0.4594,1.59,0.9361,36.5,0.9369999999999999
2.52,0.45377,1.6,0.86757,24.2,2.03
3.47,0.42413,1.62,0.78719,17.9,1.73
2.21,0.51181,1.6,0.92128,26.9,1.08
2.8,0.4887,1.52,0.89064,27.214,1.35
3.0,0.51088,1.65,0.99827,37.9,1.08
2.07,0.47588,1.74,0.89295,34.7,1.16
1.96,0.44868,1.7,0.89273,25.9,1.84
3.25,0.45697,1.66,0.88524,23.4,1.52
2.98,0.48001,1.68,0.88031,22.9,1.56
2.84,0.45698,1.62,0.98101,38.7,0.847
3.06,0.55025,1.72,0.78891,22.3,2.12
2.53,0.41194,1.58,0.96579,27.5,1.35
2.68,0.57119,1.57,0.92043,34.40000000000001,1.01
2.98,0.55405,1.69,0.93261,22.0,2.11
2.31,0.4476,1.62,0.96881,32.3,1.08
2.53,0.49685,1.71,1.0462,34.8,1.44
2.81,0.57981,1.63,0.85447,25.6,1.54
2.27,0.54886,1.61,0.81677,29.5,1.18
2.74,0.42921,1.67,0.86546,25.8,1.65
2.78,0.58374,1.64,0.85172,17.9,2.05
2.5,0.47724,1.67,0.92561,22.8,1.34
2.76,0.43616,1.71,0.89827,24.6,1.12
3.3,0.52171,1.71,0.87567,28.9,1.19
3.18,0.56542,1.68,0.99579,35.8,1.17
